ID,Age,Education,Marital_Status,Income,Kids_home,Teens_home,Total_Kids,Customer_type,Amount_Liquor,Amount_Fruits_Veg,Amount_Meat,Amount_Sweets,Amount_Bakery,Total_Purchase,Buyer_Category
0,28,Graduate,Married,70951,0,0,0,old,239,10,554,254,87,1198,Potential buyer
1,52,Graduate,Single,57091,0,0,0,new,464,5,64,7,0,577,Frequent buyer
9,38,Other,Single,46098,1,1,2,old,57,0,27,0,0,120,Frequent buyer
13,66,PhD,Single,25358,0,1,1,old,19,0,5,0,0,32,Low buyer
17,42,PhD,Married,60491,0,1,1,old,637,47,237,12,19,1028,Frequent buyer
20,48,Other,Married,46891,0,1,1,old,43,12,23,29,15,183,Frequent buyer
22,37,Graduate,Single,46310,1,0,1,old,185,2,88,15,5,309,Frequent buyer
24,53,Other,Single,17144,1,1,2,new,18,2,19,0,2,47,Low buyer
25,55,Graduate,Married,65148,0,1,1,old,460,35,422,33,12,1115,Potential buyer
35,26,Graduate,Married,25545,1,0,1,old,32,1,64,16,12,210,Frequent buyer
48,49,Graduate,Single,55761,0,1,1,new,136,1,12,0,3,184,Frequent buyer
49,43,Graduate,Single,20587,1,0,1,new,2,3,6,4,1,25,Low buyer
55,50,Graduate,Single,56253,0,1,1,old,509,0,65,7,11,597,Frequent buyer
67,41,Other,,46423,1,1,2,old,68,0,16,0,0,92,Frequent buyer
73,60,PhD,Single,51411,1,2,3,old,14,0,3,0,0,18,Low buyer
75,31,Other,Single,41039,0,0,0,old,34,11,137,179,61,467,Frequent buyer
78,44,Graduate,Married,25293,1,0,1,old,15,0,11,0,2,37,Low buyer
87,32,Other,Married,27733,1,0,1,old,0,7,5,26,2,57,Low buyer
89,38,Other,Married,22212,1,0,1,old,5,9,20,6,8,69,Frequent buyer
92,25,Graduate,,34176,1,0,1,new,5,7,24,19,14,89,Frequent buyer
113,62,Graduate,Married,30833,1,1,2,old,11,0,7,3,1,28,Low buyer
115,47,Other,Single,43456,0,1,1,old,275,11,68,25,7,393,Frequent buyer
123,62,Graduate,,67046,0,1,1,old,544,35,133,23,151,993,Frequent buyer
125,55,Other,Single,53083,1,1,2,old,215,7,33,3,0,271,Frequent buyer
143,43,Graduate,Single,61209,0,0,0,old,466,0,224,119,49,957,Frequent buyer
146,53,PhD,Single,,0,0,0,old,760,53,400,17,93,1323,Potential buyer
153,60,,Single,23272,0,0,0,old,19,3,6,4,2,46,Low buyer
158,68,PhD,Single,71604,0,0,0,old,345,53,528,,75,1196,Potential buyer
164,36,PhD,Married,28973,0,0,0,old,206,0,46,3,2,269,Frequent buyer
175,27,Graduate,Married,71952,1,0,1,old,656,80,455,52,107,1443,Potential buyer
