date,Appliances,Lighting,T1,RH1,T2,RH2,T3,RH3,T4,RH4,T5,RH5,T6,RH6,T7,RH7,T8,RH8,T9,RH9,Temperature,Pressure,Relative Humidity,Wind speed,Visibility,Tdewpoint,rv1,rv2
1/11/2016 17:00,60,30,19.89,47.6,19.2,44.79,19.79,44.73,19,45.57,17.17,55.2,7.03,84.26,17.2,41.63,18.2,48.9,17.03,45.53,6.6,733.5,92,7,63,5.3,13.28,13.28
1/11/2016 17:10,60,30,19.89,46.69,19.2,44.72,19.79,44.79,19,45.99,17.17,55.2,6.83,84.06,17.2,41.56,18.2,48.86,17.07,45.56,6.48,733.6,92,6.67,59.17,5.2,18.61,18.61
1/11/2016 17:20,50,30,19.89,46.3,19.2,44.63,19.79,44.93,18.93,45.89,17.17,55.09,6.56,83.16,17.2,41.43,18.2,48.73,17,45.5,6.37,733.7,92,6.33,55.33,5.1,28.64,28.64
1/11/2016 17:30,50,40,19.89,46.07,19.2,44.59,19.79,45,18.89,45.72,17.17,55.09,6.43,83.42,17.13,41.29,18.1,48.59,17,45.4,6.25,733.8,92,6,51.5,5,45.41,45.41
1/11/2016 17:40,60,40,19.89,46.33,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.37,84.89,17.2,41.23,18.1,48.59,17,45.4,6.13,733.9,92,5.67,47.67,4.9,10.08,10.08
1/11/2016 17:50,50,40,19.89,46.03,19.2,44.5,19.79,44.93,18.89,45.73,17.13,55.03,6.3,85.77,17.13,41.26,18.1,48.59,17,45.29,6.02,734,92,5.33,43.83,4.8,44.92,44.92
1/11/2016 18:00,60,50,19.89,45.77,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.97,6.26,86.09,17.13,41.2,18.1,48.59,17,45.29,5.9,734.1,92,5,40,4.7,47.23,47.23
1/11/2016 18:10,60,50,19.86,45.56,19.2,44.5,19.73,44.9,18.89,45.86,17.1,54.9,6.19,86.42,17.1,41.2,18.1,48.59,17,45.29,5.92,734.17,91.83,5.17,40,4.68,33.04,33.04
1/11/2016 18:20,60,40,19.79,45.6,19.2,44.43,19.73,44.79,18.89,45.79,17.17,55,6.12,87.23,17.17,41.4,18.1,48.59,17,45.29,5.93,734.23,91.67,5.33,40,4.67,31.46,31.46
1/11/2016 18:30,70,40,19.86,46.09,19.23,44.4,19.79,44.86,18.89,46.1,17.1,55,6.19,87.63,17.2,41.5,18.1,48.59,17,45.29,5.95,734.3,91.5,5.5,40,4.65,3.09,3.09
1/11/2016 18:40,230,70,19.93,45.86,19.36,44.4,19.79,44.9,18.89,46.43,17.1,55,6.19,87.87,17.25,42.72,18.1,48.59,17,45.29,5.97,734.37,91.33,5.67,40,4.63,10.3,10.3
1/11/2016 18:50,580,60,20.07,46.4,19.43,44.4,19.79,44.83,19,46.43,17.1,55,6.12,87.99,17.53,44.26,18.07,48.63,16.89,45.29,5.98,734.43,91.17,5.83,40,4.62,8.83,8.83
1/11/2016 19:00,430,50,20.13,48,19.57,44.4,19.89,44.9,19,46.36,17.1,55.09,6.12,88.59,17.82,45.49,18.07,48.56,16.96,45.29,6,734.5,91,6,40,4.6,34.35,34.35
1/11/2016 19:10,250,40,20.26,52.73,19.73,45.1,19.89,45.49,19,47.22,17.1,55.16,6.07,88.22,17.96,46.16,18.03,48.67,16.89,45.33,6,734.62,90.5,6,40,4.52,19.21,19.21
1/11/2016 19:20,100,10,20.43,55.89,19.86,45.83,20.03,47.53,19,48.7,17.1,55.5,5.9,88.16,17.96,45.53,18.1,49.19,16.89,45.35,6,734.73,90,6,40,4.43,38.49,38.49
1/11/2016 19:30,100,10,20.57,53.89,20.03,46.76,20.1,48.47,19,48.49,17.15,56.04,5.8,88.37,17.89,44.93,18.15,49.2,16.89,45.33,6,734.85,89.5,6,40,4.35,24.88,24.88
1/11/2016 19:40,90,10,20.73,52.66,20.17,47.22,20.2,48.53,18.93,48.16,17.17,56.49,5.73,88.16,17.76,44.27,18.23,49.63,16.89,45.29,6,734.97,89,6,40,4.27,35.88,35.88
1/11/2016 19:50,70,30,20.86,53.66,20.2,47.06,20.2,48.45,18.89,47.96,17.2,56.93,5.53,87.3,17.7,43.73,18.36,50.03,16.89,45.29,6,735.08,88.5,6,40,4.18,49.6,49.6
1/11/2016 20:00,80,30,20.89,51.19,20.2,46.33,20.2,48.19,18.96,48.63,17.2,57.06,5.33,86.76,17.67,43.16,18.53,50.2,16.89,45.2,6,735.2,88,6,40,4.1,19,19
1/11/2016 20:10,140,40,20.89,49.8,20.2,46.03,20.17,47.63,19.03,49.5,17.59,70.73,5.33,87.46,17.6,42.69,18.67,50.26,16.89,45.2,6,735.23,87.83,6,40,4.07,38.87,38.87
1/11/2016 20:20,120,20,20.89,48.43,20.2,45.72,20.17,47.3,19.18,49.95,18.07,79,5.47,87.53,17.6,42.33,18.73,50.23,16.89,45.13,6,735.27,87.67,6,40,4.03,46.74,46.74
1/11/2016 20:30,190,40,20.96,47.63,20.26,45.53,20.2,47.03,19.26,49.7,17.67,79.73,5.5,86.96,17.53,42.07,18.86,50.29,16.89,45.13,6,735.3,87.5,6,40,4,10.61,10.61
1/11/2016 20:40,110,40,21.03,47.06,20.29,45.22,20.26,46.83,19.32,49.17,17.6,79.26,5.56,86.56,17.63,43.63,18.89,50.16,16.89,45.06,6,735.33,87.33,6,40,3.97,32.58,32.58
1/11/2016 20:50,110,40,21.1,46.6,20.36,44.96,20.29,46.63,19.39,48.43,17.57,78.39,5.62,86.33,17.76,43.63,18.96,50.03,16.89,45,6,735.37,87.17,6,40,3.93,6.28,6.28
1/11/2016 21:00,110,30,21.13,46.06,20.43,44.76,20.29,46.43,19.39,48.19,17.76,82.46,5.76,86.06,17.86,43.46,19,49.76,16.89,44.97,6,735.4,87,6,40,3.9,13.36,13.36
1/11/2016 21:10,110,20,21.2,45.8,20.5,44.76,20.39,46.22,19.39,47.8,18.36,82.59,5.66,85.59,17.79,43.4,19.07,49.7,16.89,44.9,5.93,735.47,87.17,6,40,3.87,19.31,19.31
1/11/2016 21:20,100,30,21.29,45.9,20.53,45.09,20.39,46.09,19.39,47.56,18.36,70.99,5.53,85.73,17.89,43.79,19.13,49.63,16.89,44.79,5.87,735.53,87.33,6,40,3.83,0.67,0.67
1/11/2016 21:30,100,20,21.36,45.83,20.67,45.16,20.39,46.09,19.39,47.5,18.6,62.43,5.43,86.33,17.89,43.79,19.2,49.43,16.89,44.79,5.8,735.6,87.5,6,40,3.8,19.12,19.12
1/11/2016 21:40,100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.43,47.99,18.67,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73,735.67,87.67,6,40,3.77,43.48,43.48
1/11/2016 21:50,100,20,21.5,45.33,20.7,44.93,20.39,46.06,19.57,48.47,18.82,56.73,5.59,86.47,17.87,43.57,19.29,49.33,16.89,44.7,5.67,735.73,87.83,6,40,3.73,17.02,17.02
1/11/2016 22:00,110,20,21.5,45.13,20.79,44.63,20.39,46,19.67,48.09,18.96,55.33,5.59,86.33,17.79,43.4,19.29,49.16,16.82,44.59,5.6,735.8,88,6,40,3.7,24.1,24.1
1/11/2016 22:10,400,20,21.53,44.97,20.79,44.36,20.43,45.93,19.6,47.5,19.03,54.09,5.66,86.23,17.79,43.22,19.36,49.03,16.82,44.53,5.65,735.88,87.83,6.17,40,3.72,29.98,29.98
1/11/2016 22:20,400,20,21.6,44.77,20.89,44.22,20.5,45.93,19.7,47.63,19.1,53.37,5.83,85.77,17.79,43.03,19.39,48.86,16.89,44.59,5.7,735.97,87.67,6.33,40,3.73,24.68,24.68
1/11/2016 22:30,390,30,21.6,44.56,20.96,43.96,20.5,45.79,20.1,47.57,19.16,52.47,5.9,85.03,17.79,42.76,19.39,48.86,16.89,44.52,5.75,736.05,87.5,6.5,40,3.75,9.31,9.31
1/11/2016 22:40,240,20,21.6,44.36,21,43.83,20.5,45.73,20.6,47.22,19.2,51.99,6,84.13,17.79,42.63,19.34,48.95,16.82,44.43,5.8,736.13,87.33,6.67,40,3.77,41.37,41.37
1/11/2016 22:50,60,20,21.6,44.2,21,43.7,20.5,45.59,21,47.03,19.22,51.52,6,84.06,17.7,42.63,19.29,49.23,16.89,44.5,5.85,736.22,87.17,6.83,40,3.78,33.42,33.42
1/11/2016 23:00,60,20,21.6,44.2,21,43.59,20.42,45.55,21.17,46.53,19.29,51.23,5.97,84.79,17.7,42.76,19.36,49.43,16.89,44.5,5.9,736.3,87,7,40,3.8,39.71,39.71
1/11/2016 23:10,60,20,21.6,44.2,21,43.59,20.39,45.66,21.03,46.4,19.29,51.06,5.9,85.6,17.7,43.03,19.39,49.89,16.89,45.07,5.8,736.4,87.83,6.83,37,3.85,5.4,5.4
1/11/2016 23:20,50,10,21.6,44.2,21,43.7,20.29,45.73,20.96,46.43,19.29,50.93,5.76,86.26,17.7,43.16,19.39,50.16,16.89,45.26,5.7,736.5,88.67,6.67,34,3.9,36.19,36.19
1/11/2016 23:30,70,20,21.5,44.23,20.93,43.76,20.29,45.79,20.87,46.57,19.29,50.86,5.62,86.59,17.7,43.4,19.39,50.46,16.89,45.43,5.6,736.6,89.5,6.5,31,3.95,20.56,20.56
1/11/2016 23:40,60,20,21.5,44.36,20.89,43.85,20.29,45.79,20.73,46.59,19.29,50.79,5.59,87.5,17.7,43.47,19.39,50.72,16.89,45.56,5.5,736.7,90.33,6.33,28,4,41.05,41.05
1/11/2016 23:50,40,20,21.39,44.43,20.79,43.79,20.23,45.66,20.7,46.79,19.2,50.66,5.59,87.9,17.7,43.63,19.39,50.96,16.89,45.63,5.4,736.8,91.17,6.17,25,4.05,32.35,32.35
1/12/2016 0:00,40,10,21.39,44.56,20.79,43.86,20.2,45.66,20.63,46.79,19.2,50.53,5.59,88.63,17.7,43.76,19.39,51.16,16.89,45.7,5.3,736.9,92,6,22,4.1,39.15,39.15
1/12/2016 0:10,30,20,21.29,44.83,20.7,44,20.2,45.59,20.57,46.93,19.2,50.5,5.53,89.03,17.7,43.93,19.46,51.5,16.89,45.79,5.27,737,92,6,25,4.07,27.65,27.65
1/12/2016 0:20,40,20,21.29,44.97,20.63,44,20.17,45.5,20.5,47.13,19.2,50.43,5.53,89.4,17.76,44.33,19.39,51.56,16.89,45.86,5.23,737.1,92,6,28,4.03,26.49,26.49
1/12/2016 0:30,50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.17,50.36,5.53,89.19,17.79,44.96,19.39,51.86,16.89,45.9,5.2,737.2,92,6,31,4,39.47,39.47
1/12/2016 0:40,310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.43,47.23,19.1,50.29,5.4,89.4,17.79,45.22,19.39,52,16.89,45.97,5.17,737.3,92,6,34,3.97,1.17,1.17
1/12/2016 0:50,380,20,21.17,45.23,20.5,44.13,20.1,45.5,20.46,47.36,19.07,50.26,5.2,88.99,17.79,45.33,19.36,52.09,16.89,46.03,5.13,737.4,92,6,37,3.93,23.86,23.86
1/12/2016 1:00,380,20,21.08,45.37,20.5,44.2,20.1,45.53,20.79,47.56,19,50.13,4.87,89.06,17.79,45.43,19.29,52.16,16.89,46.09,5.1,737.5,92,6,40,3.9,36.62,36.62
1/12/2016 1:10,370,20,21,45.4,20.39,44.2,20.1,45.59,21.26,47.47,19,50.09,4.93,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.12,737.63,92,5.83,40,3.92,34.64,34.64
1/12/2016 1:20,120,10,21,45.59,20.39,44.26,20.1,45.59,21.6,47.4,19,50.03,5,91.43,17.79,45.73,19.23,52.9,16.89,46.2,5.13,737.77,92,5.67,40,3.93,23.88,23.88
1/12/2016 1:30,50,0,20.93,45.59,20.29,44.29,20.17,45.53,21.89,46.97,19,50.03,4.87,91.26,17.79,45.86,19.29,53.5,16.89,46.29,5.15,737.9,92,5.5,40,3.95,43.06,43.06
1/12/2016 1:40,40,0,20.89,45.67,20.23,44.29,20.13,45.5,21.82,46.23,18.93,50.09,4.73,91.59,17.79,45.83,19.29,53.96,16.89,46.43,5.17,738.03,92,5.33,40,3.97,21.9,21.9
1/12/2016 1:50,50,0,20.89,46.06,20.2,44.4,20.2,45.5,21.67,46.06,18.89,50.09,4.47,91.76,17.79,45.97,19.29,54.46,16.89,46.63,5.18,738.17,92,5.17,40,3.98,12.24,12.24
