hhserial,hhweight,survey_year,country_name,country_iso,reg,district,village_name,ea_code,rural,religion,hhhead_female,hhhead_age,hhhead_marital,hhhead_education,hhhead_literate,males,females,memb_total,memb_und6,memb_male_und16,memb_female_und16,memb_und15,memb_15_44,memb_45_65,memb_65plus,depend_young,depend_old,depend_total,house_rooms,house_roof,house_electricity,house_watersource,house_toilet,house_walls,house_floor,house_cost,house_owned,land_owned_operated,land_owned_notoperated,asset_telephone,asset_qty_poultry,asset_tractor,asset_cartplough,asset_fridge,asset_qty_cattle,asset_motorbike,asset_radio,asset_qty_sheepgoat,expenditure_durable,expenditure_durable_quintile,expenditure_nondurable,expenditure_nondurable_quintile,expenditure_food,expenditure_food_quintile,expenditure_total,expenditure_total_quintile,dd_1_milk,dd_2_tea,dd_3_otherliquid,dd_4_bread,dd_5_tubers,dd_6_potatoes,dd_7_darkleafygreens,dd_8_mangoes,dd_9_otherfruit,dd_10_organmeat,dd_11_othermeat,dd_12_eggs,dd_13_fish,dd_14_beans,dd_15_yogurt,dd_16_oils,dd_17_sugar,dd_18_condiments,dd_19_grubs,dd_20_palmoil,dd_total,hhs_1_nofood,hhs_2_sleephungry,hhs_3_hungry,hhs_total,f_weai_leisuretime,f_weai_npoor_z105,f_weai_speakpublic_any,f_weai_groupmember_any,f_weai_incdec_count,f_weai_credjanydec_any,f_weai_jrightanyagr,f_weai_jown_count,f_weai_raiprod_any,f_weai_feelinputdecagr,f_weai_fivede,f_weai_empowered,m_weai_leisuretime,m_weai_npoor_z105,m_weai_speakpublic_any,m_weai_groupmember_any,m_weai_incdec_count,m_weai_credjanydec_any,m_weai_jrightanyagr,m_weai_jown_count,m_weai_raiprod_any,m_weai_feelinputdecagr,m_weai_fivede,m_weai_empowered,weai_parity_gap,longitude_offset,latitude_offset,h_maiz_a,h_pmil_a,h_sorg_a,p_maiz_a,p_pmil_a,p_sorg_a,y_maiz_a,y_pmil_a,y_sorg_a,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,rain_01,rain_02,rain_03,rain_04,rain_05,rain_06,rain_07,rain_08,rain_09,rain_10,rain_11,rain_12,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,ndvi_max,ndvi_mean,ndvi_min,alt,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,c_20000,c_50000,c_100000,c_250000,c_500000,clypptl1,clypptl2,clypptl3,clypptl4,ocdensl1,ocdensl2,ocdensl3,ocdensl4,phihoxl1,phihoxl2,phihoxl3,phihoxl4,sltpptl1,sltpptl2,sltpptl3,sltpptl4,sndpptl1,sndpptl2,sndpptl3,sndpptl4,aez_name
1080303501,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,0.0,60,3,9,7,10,2,12,1,6,0,6,3,3,0,1.0,0.0,1.0,7,6,0,11,3,5,4,50.0,5,1,0,0,30.0,0,1,0,,1,1,35.0,238.5,3,696.0499999523163,5,36.799999952316284,4,10504.699996948242,5,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,-1.7126968381128413,9.025439488337348,0,0,0,0,0,0,0,0,0,41.97,43.51,42.81,39.63,35.81,29.93,29.37,29.55,29.83,32.33,32.37,39.25,0.984422,2.41311,42.1501,66.686,92.591,140.186,74.3996,129.372,200.625,104.03,15.1082,3.03981,3031,2940,3987,5891,5989,6483,6715,6947,6671,6395,6250,5163,6782,5489.76,3157,207,273,29.5,25.5,1068,208,0,77,498,13,155,498,15.1,36.3,19.8,16.5,25.5,27.1,304,399,399,399,651,14,15,17,22,67,174,137,75,63,62,61,61,25,24,23,23,61,61,59,55,3
1080303502,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,0.0,31,3,15,4,1,1,2,0,0,0,0,2,0,0,0.0,0.0,0.0,4,6,0,11,3,5,4,1200.0,5,1,0,1,15.0,0,1,1,,1,1,20.0,,,366.19999995827675,4,48.499999821186066,4,6916.399990200996,4,1,1,,,0,1,1,1,1,0,1,,1,1,1,,1,1,1,,13.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,0,0,1,,0.6666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,0.33333333333333337,-1.5432124935523543,9.011934805386021,0,0,0,0,0,0,0,0,0,43.59,44.55,44.83,37.03,39.11,32.53,29.25,32.73,30.59,33.19,36.13,40.65,0.795542,2.01849,41.6893,60.0341,84.077,129.754,86.4719,130.316,182.831,84.2578,20.7349,2.04727,2674,2414,2419,4220,4892,6045,6642,7052,7463,6482,5029,3552,6882.25,4951.19,2512.13,172,276,29.7,25.8,1079,212,1,78,508,13,154,508,14.62,36.6,20.2,16.4,25.8,28.1,73,106,106,106,338,13,13,15,20,60,155,130,64,63,62,61,60,24,23,22,22,64,64,62,58,3
1080303503,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,0.0,50,3,9,7,4,3,7,2,3,2,5,1,1,0,2.5,0.0,2.5,2,6,0,8,3,5,4,200.0,5,1,0,1,19.0,0,1,0,,1,1,17.0,66.5,1,235.10000002384186,3,10,1,3407.7000002861023,3,0,0,1,,0,1,1,1,0,1,1,1,1,1,1,,1,1,1,,13.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,1,0,1,0.7666666666666667,0,1,1,1,0,1,0,1,1,0,1,0.7333333333333333,0,-0.03333333333333344,-1.7152810024913505,8.996311767222078,0,0,0,0,0,0,0,0,0,41.97,43.51,42.81,39.63,35.81,29.93,29.37,29.55,29.83,32.33,32.37,39.25,0.984422,2.41311,42.1501,66.686,92.591,140.186,74.3996,129.372,200.625,104.03,15.1082,3.03981,3031,2940,3987,5891,5989,6483,6715,6947,6671,6395,6250,5163,6782,5489.76,3157,207,273,29.5,25.5,1068,208,0,77,498,13,155,498,15.1,36.3,19.8,16.5,25.5,27.1,304,399,399,399,651,14,15,17,22,67,174,137,75,63,62,61,61,25,24,23,23,61,61,59,55,3
1080303504,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,3,0.0,40,3,9,7,7,6,13,4,5,4,8,5,0,0,1.6,0.0,1.6,,,,,,,,200.0,5,,,,,,,,,,,,1718,5,159.00000005960464,3,24.000000029802322,3,4874.0000022649765,3,0,1,1,,0,,1,1,1,0,1,1,,1,1,1,1,,1,1,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7651254547011739,8.884742795333008,0,0,0,0,0,0,0,0,0,42.41,42.99,42.99,37.07,33.31,30.67,30.53,29.93,30.63,32.07,33.17,37.99,1.32784,3.33495,46.9694,72.1311,101.582,146.282,80.9756,128.707,193.146,109.521,21.5309,3.07041,2936,2952,3243,5898,6181,6576,5964,6892,7000,6460,6125,5300,6685.14,5309.39,3163.5,272,268,28.9,25.0,1102,212,1,75,496,16,169,496,14.57,35.8,19.4,16.4,25.0,27.2,338,446,446,446,656,16,16,19,23,70,169,138,72,63,62,61,61,21,21,20,21,62,63,61,57,3
1080303505,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,9,0.0,42,3,9,7,3,2,5,0,1,1,2,3,0,0,0.6666667,0.0,0.6666667,3,6,0,11,3,5,4,900.0,5,1,0,0,34.0,0,1,0,,1,0,8.0,110,1,440.90000000596046,4,11,2,5972.800000071526,4,0,0,1,,0,1,1,1,0,0,0,1,,1,1,1,1,,1,1,11.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,1,1,0.7,0,1,1,1,0,1,0,1,1,1,1,0.8333333333333333,1,0.1333333333333333,-1.6941667156402151,9.038110868241988,0,0,0,0,0,0,0,0,0,41.97,43.51,42.81,39.63,35.81,29.93,29.37,29.55,29.83,32.33,32.37,39.25,0.984422,2.41311,42.1501,66.686,92.591,140.186,74.3996,129.372,200.625,104.03,15.1082,3.03981,3031,2940,3987,5891,5989,6483,6715,6947,6671,6395,6250,5163,6782,5489.76,3157,180,275,29.6,25.6,1061,207,0,77,496,12,152,496,14.91,36.5,19.9,16.6,25.6,27.8,304,399,399,399,651,14,15,17,22,67,174,137,75,63,62,61,61,25,24,23,23,61,61,59,55,3
1080303506,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,0.0,45,3,9,7,1,3,4,1,0,2,2,1,1,0,1.0,0.0,1.0,2,6,0,8,3,5,4,500.0,5,1,0,1,4.0,0,1,0,,1,0,2.0,100,1,483.80000001192093,5,18.399999976158142,2,6862.3999989032745,4,0,0,1,1,0,,0,1,0,0,0,1,,1,1,,1,1,1,1,10.0,1.0,1.0,0.0,2.0,1,1,1,1,1,0,0,0,0,1,0.7000000000000001,0,0,1,1,,1,0,1,1,0,1,0.6333333333333333,0,-0.06666666666666676,-1.7069545721314952,9.035257815156728,0,0,0,0,0,0,0,0,0,41.97,43.51,42.81,39.63,35.81,29.93,29.37,29.55,29.83,32.33,32.37,39.25,0.984422,2.41311,42.1501,66.686,92.591,140.186,74.3996,129.372,200.625,104.03,15.1082,3.03981,3031,2940,3987,5891,5989,6483,6715,6947,6671,6395,6250,5163,6782,5489.76,3157,207,273,29.5,25.5,1068,208,0,77,498,13,155,498,15.1,36.3,19.8,16.5,25.5,27.1,304,399,399,399,651,14,15,17,22,67,174,137,75,63,62,61,61,25,24,23,23,61,61,59,55,3
1080303507,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,1.0,29,3,9,7,6,5,11,4,4,2,6,4,1,0,1.2,0.0,1.2,3,6,0,8,3,5,4,1000.0,5,1,1,1,10.0,0,1,0,,1,1,6.0,1527.5,5,62.39999997615814,2,30.100000023841858,3,3841.5000009536743,3,0,0,1,1,0,,1,1,0,0,0,1,,1,1,1,1,,1,,8.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,1,1,1,0.7,0,,,,,,,,,,,,,,-1.7909536156919093,8.834069379401821,0,0,0,0,0,0,0,0,0,43.61,43.89,43.33,38.61,36.19,32.83,32.31,30.13,30.41,32.43,33.43,37.51,0.809025,2.69143,48.1518,70.7509,100.306,144.015,82.5481,128.404,187.154,96.3922,23.883,2.7455,2819,2824,3869,5546,5755,6236,6334,6962,6799,6256,5868,5051,6696.88,5237.76,3064.75,212,271,29.3,25.4,1096,209,1,74,487,16,169,487,14.56,36.1,19.7,16.4,25.4,27.5,165,258,258,258,453,17,17,20,26,63,180,145,74,64,63,62,61,22,22,21,21,61,61,59,54,3
1080303509,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,0.0,38,3,11,4,3,3,6,2,2,1,3,3,0,0,1.0,0.0,1.0,2,6,0,8,3,5,4,0.0,5,1,0,0,15.0,1,0,0,,1,1,10.0,97,1,20.400000005960464,1,20.90000009536743,3,1428.600005030632,1,0,0,1,,0,,1,,,,1,1,,1,1,1,1,1,1,1,11.0,1.0,0.0,0.0,1.0,1,1,1,0,0,0,0,0,1,1,0.5,0,,,1,0,1,0,1,1,1,1,0.6333333333333333,0,0.1333333333333333,-1.774883172908349,8.814708970269196,0,0,0,0,0,0,0,0,0,43.61,43.89,43.33,38.61,36.19,32.83,32.31,30.13,30.41,32.43,33.43,37.51,0.809025,2.69143,48.1518,70.7509,100.306,144.015,82.5481,128.404,187.154,96.3922,23.883,2.7455,2819,2824,3869,5546,5755,6236,6334,6962,6799,6256,5868,5051,6696.88,5237.76,3064.75,212,271,29.3,25.4,1096,209,1,74,487,16,169,487,14.56,36.1,19.7,16.4,25.4,27.5,165,258,258,258,453,17,17,20,26,63,180,145,74,64,63,62,61,22,22,21,21,61,61,59,54,3
1080303510,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,1.0,40,3,9,5,5,4,9,3,3,3,5,3,1,0,1.25,0.0,1.25,2,6,0,8,3,5,4,70.0,5,1,0,1,,0,1,0,,1,0,,100,1,340.5,4,5.5,1,4472,3,0,0,1,,0,1,0,1,1,0,0,1,,,1,1,1,,1,1,10.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,1,0,0.5,0,0,1,1,0,1,0,0,0,1,0,0.5,0,0,-1.7877553886913242,8.84100463887244,0,0,0,0,0,0,0,0,0,43.61,43.89,43.33,38.61,36.19,32.83,32.31,30.13,30.41,32.43,33.43,37.51,0.809025,2.69143,48.1518,70.7509,100.306,144.015,82.5481,128.404,187.154,96.3922,23.883,2.7455,2819,2824,3869,5546,5755,6236,6334,6962,6799,6256,5868,5051,6696.88,5237.76,3064.75,212,271,29.3,25.4,1096,209,1,74,487,16,169,487,14.56,36.1,19.7,16.4,25.4,27.5,165,258,258,258,453,17,17,20,26,63,180,145,74,64,63,62,61,22,22,21,21,61,61,59,54,3
1080303511,63.367573,2012.0,"Ghana","GHA",693.0,6414.0,803035,803100005,1.0,2,0.0,20,4,9,4,4,5,9,4,3,3,6,3,0,0,2.0,0.0,2.0,3,6,0,1,3,5,4,300.0,5,,,,,,,,,,,,0,1,8.000000059604645,1,,,96.00000071525574,1,0,0,1,1,0,,0,1,0,0,0,1,1,1,1,1,1,,1,,8.5,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7728684778819375,8.81685523659894,0,0,0,0,0,0,0,0,0,43.61,43.89,43.33,38.61,36.19,32.83,32.31,30.13,30.41,32.43,33.43,37.51,0.809025,2.69143,48.1518,70.7509,100.306,144.015,82.5481,128.404,187.154,96.3922,23.883,2.7455,2819,2824,3869,5546,5755,6236,6334,6962,6799,6256,5868,5051,6696.88,5237.76,3064.75,237,270,29.1,25.3,1102,210,1,75,489,17,172,489,14.37,36.0,19.5,16.5,25.3,27.4,216,309,309,309,504,17,17,20,26,63,180,145,74,64,63,62,61,22,22,21,21,61,61,59,54,3
